body_weight,brain_weight,max_life_span,gestation_time,predation_index,sleep_exposure_index,danger_index,total_sleep
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,
6654,5712,38.6,645,3,5,3,3.3
1,6.6,4.5,42,3,1,3,8.3
3.385,44.5,14,60,1,1,1,12.5
0.92,5.7,19.8776,25,5,2,3,16.5
2547,4603,69,624,3,5,4,3.9
10.55,179.5,27,180,4,4,4,9.8
0.023,0.3,19,35,1,1,1,19.7
160,169,30.4,392,4,5,4,6.2
3.3,25.6,28,63,1,2,1,14.5
52.16,440,50,230,1,1,1,9.7
0.425,6.4,7,112,5,4,4,12.5
465,423,30,281,5,5,5,3.9
0.55,2.4,19.8776,142.353,2,1,2,10.3
187.1,419,40,365,5,5,5,3.1
0.075,1.2,3.5,42,1,1,1,8.4
3,25,50,28,2,2,2,8.6
0.785,3.5,6,42,2,2,2,10.7
0.2,5,10.4,120,2,2,2,10.7
1.41,17.5,34,142.353,1,2,1,6.1
60,81,7,142.353,1,1,1,18.1
529,680,28,400,5,5,5,10.5328
27.66,115,20,148,5,5,5,3.8
0.12,1,3.9,16,3,1,2,14.4
207,406,39.3,252,1,4,1,12
85,325,41,310,1,3,1,6.2
36.33,119.5,16.2,63,1,1,1,13
0.101,4,9,28,5,1,3,13.8
1.04,5.5,7.6,68,5,3,4,8.2
521,655,46,336,5,5,5,2.9
100,157,22.4,100,1,1,1,10.8
35,56,16.3,33,3,5,4,10.5328
0.005,0.14,2.6,21.5,5,2,4,9.1
0.01,0.25,24,50,1,1,1,19.9
62,1320,100,267,1,1,1,8
0.122,3,19.8776,30,2,1,1,10.6
1.35,8.1,19.8776,45,3,1,3,11.2
0.023,0.4,3.2,19,4,1,3,13.2
0.048,0.33,2,30,4,1,3,12.8
1.7,6.3,5,12,2,1,1,19.4
3.5,10.8,6.5,120,2,1,1,17.4
250,490,23.6,440,5,5,5,10.5328
0.48,15.5,12,140,2,2,2,17
10,115,20.2,170,4,4,4,10.9
1.62,11.4,13,17,2,1,2,13.7
192,180,27,115,4,4,4,8.4
2.5,12.1,18,31,5,5,5,8.4
4.288,39.2,13.7,63,2,2,2,12.5
0.28,1.9,4.7,21,3,1,3,13.2
4.235,50.4,9.8,52,1,1,1,9.8
6.8,179,29,164,2,3,2,9.6
0.75,12.3,7,225,2,2,2,6.6
3.6,21,6,225,3,2,3,5.4
14.83,98.2,17,150,5,5,5,2.6
55.5,175,20,151,5,5,5,3.8
1.4,12.5,12.7,90,2,2,2,11
0.06,1,3.5,142.353,3,1,2,10.3
0.9,2.6,4.5,60,2,1,2,13.3
2,12.3,7.5,200,3,1,3,5.4
0.104,2.5,2.3,46,3,2,2,15.8
4.19,58,24,210,4,3,4,10.3
3.5,3.9,3,14,2,1,1,19.4
4.05,17,13,38,3,1,1,10.5328
6798.12,5576.05,37.017,666.085,3.10,5.22,3.08,3.22751
0.992429,6.92093,4.69418,42.1303,2.87,1.01,2.93,8.44573
3.32835,42.9579,13.3769,58.1461,1.04,0.99,0.96,12.37
0.942845,5.51106,19.769,25.1364,4.87,1.95,2.88,16.6853
2425.07,4566.84,71.4941,651.769,2.87,4.95,3.91,3.77442
10.1054,178.273,25.9415,181.72,4.09,4.19,3.90,9.31423
0.0235225,0.29932,18.0872,33.913,0.99,1.00,1.03,20.5264
162.901,166.414,30.8111,390.386,4.19,4.94,3.95,6.01602
3.16803,25.6643,28.8256,63.3008,1.04,2.07,0.99,14.3478
50.6887,419.303,52.4029,237.969,1.03,1.02,1.01,9.5589
0.428602,6.32203,7.08803,114.066,5.18,3.85,4.07,12.5762
478.974,439.694,28.8325,288.68,5.14,4.85,5.09,3.96417
0.564267,2.41624,20.495,146.256,2.08,1.03,1.94,10.676
181.895,399.396,41.4447,358.041,5.11,4.97,5.15,3.24387
0.074296,1.14075,3.6214,40.9304,1.03,0.98,1.00,8.48185
3.0536,26.228,52.3904,26.6568,2.07,1.96,1.92,8.62157
0.795061,3.58259,6.09983,41.212,2.04,1.91,1.91,10.9543
0.204536,5.05756,10.4594,123.834,1.98,2.03,1.92,10.6299
1.42919,16.8174,32.9607,144.699,0.96,1.98,1.04,6.19089
58.5494,80.2587,6.82343,141.169,1.03,1.02,0.98,18.4822
531.708,680.635,26.6487,387.927,4.93,4.82,4.92,10.4885
26.5028,117.506,19.6831,140.729,5.11,4.90,5.15,3.97085
0.121522,1.04887,3.90263,16.2305,3.08,0.98,1.98,13.9875
213.287,399.119,39.2553,247.975,1.00,4.06,1.02,12.1112
87.3564,315.529,41.1752,302.139,1.05,3.03,1.00,6.41896
35.8874,118.086,15.9681,65.6491,0.96,0.97,1.03,12.4662
0.0962925,3.99667,8.67454,27.7376,4.95,0.96,2.95,13.5617
1.05172,5.57148,7.70212,69.2855,4.83,2.87,4.09,8.50901
521.843,649.007,47.3598,319.551,5.22,4.93,5.12,2.82994
103.846,151.886,21.8923,95.4852,1.05,1.05,0.95,10.4387
35.095,57.4573,16.4932,31.5244,2.92,4.75,3.94,10.6348
0.0050496,0.139172,2.55831,22.1454,5.04,1.93,3.89,8.66544
0.0101481,0.248139,23.3385,50.5985,1.04,0.96,0.97,20.6062
60.9761,1315.61,100.343,257.72,1.03,0.96,1.04,8.07315
0.122177,2.913,19.2279,28.6809,2.03,1.04,1.05,10.9596
1.41108,7.88176,20.1367,46.2672,2.86,1.01,3.12,10.6979
0.0240183,0.389038,3.2096,19.1405,3.95,1.03,3.13,12.6453
0.0480923,0.33006,2.05196,29.3607,3.85,0.98,3.09,13.1946
1.67646,6.33384,4.99416,11.6176,2.09,0.98,1.03,18.9238
3.39029,11.3027,6.37996,115.875,2.09,1.00,0.99,17.2194
248.568,494.361,24.3575,454.79,4.91,5.08,4.78,10.6517
0.476579,15.3827,12.224,145.749,2.07,1.93,1.99,16.4818
9.64421,113.664,20.613,166.693,4.19,4.07,4.14,11.1346
1.68271,10.9359,13.3656,17.6274,1.91,0.96,2.04,13.1835
189.849,188.194,27.8909,113.608,3.83,4.17,3.93,7.9942
2.4366,12.2108,17.3639,31.4016,4.85,4.79,5.18,7.9998
4.11109,37.494,13.9128,60.196,1.91,1.97,1.99,12.0872
0.273499,1.95586,4.6229,21.3005,2.86,1.02,2.92,12.6291
4.18927,48.2088,9.38773,53.1859,1.02,0.96,0.97,9.64499
6.67547,176.949,29.9985,165.334,1.99,3.08,1.92,9.46519
0.767119,12.0727,7.10788,234.577,2.06,1.96,2.09,6.35276
3.67563,21.6854,5.86401,216.776,3.02,2.00,3.00,5.15738
15.5534,100.949,16.6994,156.649,4.96,5.24,4.80,2.62841
57.7648,167.001,19.8153,152.896,5.16,5.06,5.06,3.86353
1.33188,12.368,12.9741,91.6397,2.05,2.04,2.05,10.4674
0.061237,1.01563,3.59451,142.387,3.03,0.99,2.08,9.99284
0.927604,2.61536,4.56329,60.6906,1.94,0.99,2.05,13.9196
1.95922,11.7408,7.8642,193.774,2.95,1.04,2.85,5.4438
0.107957,2.48432,2.24143,44.1598,2.96,1.97,2.02,15.9721
4.10362,57.0785,24.8029,203.904,4.10,2.99,4.01,9.87888
3.41755,3.94011,2.99318,14.6296,2.09,1.02,0.96,19.1603
3.8591,17.007,12.5608,39.6767,2.96,1.01,1.02,10.7043
